SCARLET
Londe
Daniel
HOUSE
ON
SALISBURY
PLAIN
First
Hearst
International
Monthly
Jun
A
MAN
Ford
Salisbury
Plain
Bryan
Exeter
Bruntingford
BRUNTINGFORD
MILES
Bryan
Salisbury
Plain
Brunting-ford
Sorry
Bryan
Bruntingford
Come
Richard
Bryan
Bruntingford
Richard
Bryan
London
Answers
News
World
Come
Sit
Richard
Bryan
Plain
Plain
Bruntingford
Richard
Bryan
Mr.
Richard
Bryan
Richard
Bryan
Joseph
Londe
Bryan
Ann
Daniel
Museum
Daniel
Gaboriau
Sue
Salisbury
Plain
Ann
Daniel
Criminal
Investigation
Department
Q20
Salisbury
Plain
Salisbury
Plain
Richard
Bryan
Wincanton
Bruntingford
Ford
Daniel
Daniel
Daniel
Professor
Mayer
Mr
Rocke
Daniel
Miss
Lancaster
Salisbury
Plain
MILES
Bruntingford
Harry
Dawson
Dawson
Pray
Cockney
A
Harry
Dawson
London
Devonshire
Harry
Dawson
Townem
Gillard
St.
Paul
Pretty
Mr.
Harry
Dawson
Bruntingford
Mr.
Harry
Dawson
Mr.
Harry
Dawson
Better
Ann
Daniel
ANOTHER
TRAGEDY
ON
SALISBURY
PLAIN
SECOND
UNDISCOVERED
MURDER
WITHIN
A
MONTH
Mr.
Harry
Dawson
Bryan
Plain
Daniel
Miss
Lancaster
Wiltshire
Scotland
Yard
Ann
Daniel
Salisbury
Plain
Amesbury
Daniel
Americans
Daniel
Ann
Stonehenge
Ann
May
Downs
Ann
Morbid
Richard
Bryan
Amesbury
Brunting-ford
Plain
Mr.
Richard
Bryan
Mr.
Harry
Dawson
Ann
Sir
Joseph
Lady
Londe
Daniel
Drive
Ann
Daniel
Chief
Mr.—er—Rocke
Dredley
Daniel
Joseph
Londe
Inspector
Surrey
Daniel
Sir
Joseph
Londe
Homans
Hall
Inspector
Mr.
Rocke
Daniel
Inspector
Salisbury
Daniel
Romans
Hall
Inspector
Charlton
Tunbridge
Wells
Amesbury
Daniel
Foreign
Office
King
Messenger
Secret
Service
Intelligence
Department
Inspector
Mr.
Rocke
Daniel
Inspector
Daniel
Oxford
Americans
Daniel
Professor
Philip
H.
Thomson
Harvard
University
Daniel
Ann
Harvard
Professor
Thomson
Daniel
Mr
Rocke
Windergate
Daniel
Mr.
Windergate
Mr.
Windergate
Windergate
Daniel
Have
Windergate
Daniel
Londe
H
Mr.
Windergate
Ann
Daniel
Thomson
Salisbury
Gaol
Ann
Mr.
Rocke
Londe
Mr.
Rocke
Ann
Londe
.Elton
Lodge
Mr.
Windergate
Police
Force
.he
Londe
Mr.
Rocke
Miss
Lancaster
Cologne
King
Messenger
Daniel
Ann
Mr.
Rocke
Ann
Miss
Lancaster
Windergate
Ann
Romans
Hall
Windergate
Come
Mr
Rocke
Daniel
Ann
Daniel
Joseph
Londe
Mr.
Daniel
Rocke
Sir
Joseph
Londe
Daniel
Londe
Sir
Joseph
Londe
Daniel
Mr.
Windergate
Scotland
Yard—whether
Richard
Bryan
Harry
Dawson
Londe
Windergate
Sir
Joseph
Londe
Windergate
Salisbury—you
Windergate
Londe
Salisbury
Sir
Joseph
Windergate
Londe
Daniel
Windergate
Daniel
Sir
Joseph
Windergate
Londe
Windergate
Londe
Windergate
Daniel
Windergate
Windergate
Londe
Windergate
Salisbury
Daniel
Ann
Windergate
Ann
Daniel
Daniel
Daniel
Ann
Londe
Daniel
Windergate
Salisbury
Daniel
Daniel
Bruntingford
Sir
Joseph
Lady
Londe
Homans
Hall
Bruntingford
Thursday
Sir
Joseph
Londe
Susan—my
Salisbury
Londe
Daniel
Ann
Homans
Hall
Windergate
Windergate
Daniel
Daniel
Windergate
Plain
Windergate
Daniel
Windergate
Daniel
Ann
Amesbury
Windergate
Salisbury
Daniel
Daniel
Daniel
Chief
Salisbury
Daniel
SHAFTESBURY
AVENUE
MURDER
First
Hearst
International
Monthly
Jul
WINDERGATE
Shaftesbury
Avenue
Miss
Ann
Lancaster
Mr.
Rocke
Ann
Berlin
Foreign
Office
Mr.
Rocke
Windergate
Windergate
Ann
Windergate
Ann
Windergate
Mr
Rocke
Mr.
Rocke
Windergate
Ann
Windergate
Mr.
Rocke
Windergate
Ann
Windergate
Rocke
Ann
Mr.
Rocke
Ann
Mr.
Windergate
Mr.
Rocke
Mr.
Windergate
Ann
Windergate
Miss
Lancaster
Try
Scotland
Yard
Harrison
Kimball
Windergate
But—
Rocke
Daniel
Sir
Francis
Worton—commonly
Q20
Secret
Service
Department
Windergate
Daniel
Windergate
Windergate
Daniel
London
London
Israel
Rasters
Tottenham
Court
Road
Worton
Berlin
Daniel
Israel
Kasters
Foreign
Office
Berlin
Worton
Daniel
Windergate
Foreign
Office
Germany
Windergate
Rasters
Worton
Israel
Kasters
Rocke
Windergate
Mr.
Rocke
Daniel
Salisbury
Plain
Hampstead
Windergate
Daniel
Israel
Rasters
Windergate
Ann
Mr.
Rocke
Daniel
Ann
Daniel
Mr.
Rocke
Mr.
Rocke
Daniel
Daniel
Daniel
Scotland
Yard
Daniel
Windergate
Daniel
Windergate
Mr.
Rocke
Windergate
Windergate
Windergate
Windergate
Rose
Paxton
Mr.
Rocke
Mr
Rocke
Mr.
Rocke
Bessie—that
Mr.
Rocke
Windergate
C.I.D
Scotland
Yard
Oh
Windergate
Friday
Trocadero
Grill
Room
Come
Daniel
Shaftesbury
Avenue
Windergate
Israel
Rasters
Ann
Miss
Lancaster
Milan
Windergate
Did
Windergate
Windergate
Windergate
Israel
Rasters
Mr.
Windergate
Daniel
Mr.
Windergate
Mr
Mr.
Windergate
Ann
Does
Windergate
Mr.
Windergate
Ann
Mr.
Windergate
Mr.
Rocke
Milan
Mr.
Rocke
Windergate
Mr.
Rocke
Windergate
Rocke
Inspector
Gresson
Professor
Mayer
Hampstead
Hampstead
Amy
Kinlake
Go
Laburnum
Road
May
Daniel
Rocke
Foreign
Office
Museum
Professor
Mayer
Windergate
Constable—Inspector
Windergate
C.I.D
Windergate
Kasters
Professor
Mayer
Marylebone
Police
Station
Windergate
Rocke
Hence
Londe—he
Windergate
Windergate
Londe
Marylebone
Road
Police
Station
Windergate
Daniel
Rocke
Windergate
Windergate
Daniel
Rocke
Daniel
Windergate
Professor
Professor
Marylebone
Police
Station
Avenue
Professor
Professor
Londe
Professor
Daniel
Londe
Strand—did
Londe
Windergate
Londe
Daniel
Daniel
Windergate
Windergate
Miss
Lancaster
Daniel
Windergate
Rocke
Mind
Daniel
Daniel
Daniel
Daniel
Daniel
TENANT
THE
LIGHTHOUSE
Illustration
First
Hearst
International
Monthly
Aug
COLONEL
SIR
FRANCIS
WORTON
K.C.B.
D.S.O.
Q20—the
Home
Secret
Service
Department
Daniel
Rocke
Worton
Daniel
Daniel
Sir
Francis
Daniel
Windergate
Sir
Francis
Windergate
Daniel
Daniel
Daniel
Windergate
Londe
F.O
Sir
Francis
Windergate
Salisbury
Plain
Windergate
Daniel
Sir
Francis
Daniel
Sir
Francis
Londe
Magnificent
Hotel
Shoreborough
Worton
Daniel
Londe
Magnificent
Windergate
Miss
Lancaster
Windergate
Sir
Francis
Windergate
Daniel
Londe
Lancet
Lancet
Magnificent
Doctor
Benson
Daniel
Benson
Sir
Francis
Daniel
Lancet
Sir
Francis
A.B.C.
Daniel
Miss
Lancaster
Sir
Francis
Magnificent
Shoreborough
Londe
Thursday
Lancet
Frenchman
Sir
Francis
Sir
Francis
Daniel
Windergate
Daniel
Sir
Francis
Sir
Francis
Daniel
London
MYSTERIOUS
DISAPPEARANCE
A
GOVERNMENT
OFFICIAL
Worton
Worton
Londe
Miss
Lancaster
Salisbury
Plain
Sir
Joseph
Londe
Sir
Francis
Sir
Francis
Rocke
Rocke
Worton
Londe
Sir
Francis
Londe
Sir
Francis
Londe
College
Surgeons
Worton
Make
Sir
Francis
Sir
Francis
Londe
Sir
Francis
Worton
Joseph
Worton
Londe
Worton
Londe
English
English
Rolls-Royce
Sir
Francis
Worton
K.C.B.
D.S.O
Daniel
Rocke
Windergate
Captain
Milton
Chief
Constable
County
Hotel
Magnificent
Worton
Daniel
Chief
Constable
Ask
Daniel
Daniel
Captain
Milton
Chief
Constable
Daniel
West
Shoreborough
Chief
Constable
Mr.
Rocke
Sir
Francis
Worton
Daniel
Sir
Francis
Daniel
William
Morton
Daniel
Fox
Lancet
Daniel
Which
Chief
Constable
Fellows
Company
Daniel
Mr.
Mrs.
Fox
Thank
God
Daniel
Londe
Sir
Francis
Daniel
God
Sir
Francis
Captain
Milton
Stedman
Mr.
Windergate
Ann
Daniel
Londe
Chief
Constable
Ann
Daniel
Daniel
Chief
Constable
Daniel
God
Ann
Daniel
Londe
Daniel
Daniel
Rocke
Ann
Milton
Sir
Francis
Londe
Londe
Columbus
Daniel
Chief
Constable
Shoreborough
YOUNG
MAN
KISS
First
Hearst
International
Monthly
Sep
THE
Daniel
Rocke
Miss
Ann
Lancaster
Daniel
MYSTERIOUS
DISAPPEARANCE
A
SOMERSETSHIRE
GENTLEMAN
A
Scotland
Yard
South
Fawley
Somerset
Devon
Thursday
Mr.
Gerald
Oakes
South
Fawley
Hall
Park
Mr.
Oakes
Scotland
Yard
Mr.
Oakes
Loss
Daniel
Ann
South
Fawley
Professor
Moon
Sir
Francis
Whitehall
House
De
Quincey
Stop
Miss
Lancaster
Shaftesbury
Avenue
Charing
Cross
Road
Rev
Gordon
Maseley
Vicarage
South
Fawley
SOMERSET
Ann
Daniel
Queer
Mr.
Rocke
Mr.
Maseley
Hobson
Brain
Mr.
Maseley
Daniel
Daniel
Rev
Maseley
Daniel
Maseley
Ann
Daniel
Daniel
Daniel
Melbourne
Pale
Gerald
Oakes
Somerset
Scotland
Yard
South
Fawley
Londe
Londe
Gerald
Oakes
Londe
Hall
Londe
Londe
Gerald
Oakes
Londe
Londe
Gerald
Oakes
Londe
Londe
Damn
Londe
Londe
Hall
Scotland
Yard
Gerald
Oakes
Londe
Hall
Londe
Londe
Remember—that
Londe
Londe
Illustration
God
Gerald
Oakes
Londe
Park
Ann
Daniel
Mr.
Rocke
Daniel
THE
SOUTH
FAWLEY
MYSTERY
MR.
GERALD
OAKES
DISCOVERED
IN
WOOD
WHERE
HE
DISAPPEARED
Mr.
Gerald
Oakes
South
Fawley
Hall
Mr
Oakes
Daniel
Rocke
Ann
Somersetshire
Daniel
Sir
Francis
Ann
South
Fawley
Hall
Daniel
Mr.
Oakes
Daniel
Press
Daniel
Ann
South
Fawley
Sir
Francis
Daniel
Foreign
Office
Sir
Francis
Kind
Home
Secret
Service
Daniel
Gerald
Oakes
Daniel
Rev
Gordon
Maseley
Maseley
Bit
Daniel
Violet
Gerald
Oakes
England
Violet
Cheltenham
Daniel
Sir
Francis
Tell
Daniel
Daniel
Miss
Violet
Maseley
Please
Mr
Rocke
Daniel
Ann
Ann
Rev
Gordon
Maseley
Daniel
Mrs.
Oakes
Doctor
Osborn
Daniel
Sir
Francis
Worton
Sir
Francis
Daniel
Mrs.
Oakes
Sir
Francis
Have
Daniel
May
Mr.
Lord
Mr.
Lord
Daniel
Rev
Mr.
Lord
Mr.
Gordon
Maseley
Mrs.
Oakes
Mr.
Lord
Daniel
Ann
Londe
Rev
Gordon
Maseley
Gerald
Oakes
Daniel
London
Mrs.
Oakes
Harley
House
Daniel
Mr.
Maseley
Daniel
Press
Gerald
Oakes
Au
Joseph
Londe
P.S.—I
South
Fawley
Waterloo
Daniel
Ann
Daniel
Daniel
Samson
Samson
Temple
Ann
Daniel
AVENUE
OF
DEATH
Illustration
First
Hearst
International
Monthly
Oct
LONDE
Times
Surrey
Judith
Sir
Joseph
Londe
Bart.
Melbourne
Australia
Surgeon-Major
Majesty
Apply
Box
Offices
Journal
Joseph
Daniel
Rocke
Judith
Lancet
Fortnightly
Judith
Griggs
Griggs
Londe
Poor
Griggs
Londe
Londe
Griggs
Thou
Thy
Quick
Phyllis
Dare
Harry
Tate
Marie
Lloyd
President
United
States—dear
Londe
Griggs
Cafi
Royal
King
President
Emperor
China
Marie
Lloyd
Sun
God
Harry
Tate
Londe
Lord
Mayor
Hungaries
Harry
Tate
Golden
Lion
Londe
Aye
Griggs
Londe
Judith
Londe
Griggs
Londe
Follow
Joseph
Mrs.
Griggs
Follow
Griggs
Mrs.
Griggs
Robinson
Chigwell
Worst
Madam
Mrs.
Griggs
Madam
Anyhow
Griggs
Times
Londe
Chigwell
Asylum
Salisbury
Plain
Londe
Griggs
Londe
Mrs.
Griggs
Londe
Griggs
Londe
Londe
Daniel
Rocke
Ann
Honoured
Times
Joseph
Londe
Chigwell
Asylum
Salisbury
Plain
Cobham
Ripley
John
Griggs
Ann
Daniel
Griggs
Crossley
Joseph
Londe
Daniel
Remember
Griggs
Sir
Francis
Daniel
Anyhow
Mr.
Rocke
Londe
Daniel
Cobham
Sir
Francis
Windergate
Ann
Daniel
Sir
Francis
Windergate
Ann
Mr.
Griggs
Daniel
Ford
Londe
Londe
Salisbury
Plain
Griggs
Griggs
Daniel
Griggs
Daniel
Londe
Griggs
Daniel
Sir
Francis
Griggs
Satan
Daniel
Griggs
God
Daniel
Griggs
Daniel
Sir
Francis
Ford
Daniel
Ann
Ford
Daniel
Ford
Griggs
Daniel
Daniel
God
Griggs
Daniel
God
Ford
Daniel
Miss
Lancaster
Windergate
Londe
Daniel
Windergate
Griggs
Londe
Windergate
Londe
Daniel
Daniel—perhaps
Daniel
Daniel
Daniel
Worton
Miss
Lancaster
God
Ann
Worton
Windergate
Daniel
Londe
Griggs
Daniel
Londe
Ford
Londe
LUCK
First
Hearst
International
Monthly
Nov
A
YOUNG
Monte
Carlo
Giro
February
Doctor
Londe
Sir
Joseph
Londe
Sister
Judith
Sister
Londe
Londe
'16
Lieutenant
Sherwood
Foresters
Mr.
Brookes
Gray
sober
Chigwell
Joseph
Judith
Sporting
Club
Londe
Daniel
Rocke
Quatorze
Qitatorze
Rien
Quatorze
Londe
Deux
Londe
Londe
Quatorze
Londe
Judith
Giro
Londe
Mr.
Brookes
Joseph
Londe
Sir
Joseph
Londe
Field
Hospital
Ypres
Londe
Monte
Carlo
Londe
Giro
Sir
Brookes
Londe
I—you
Sister
Judith—will
Sister
Judith—I
Lady
Londe—was
Londe
Brooks
Ceylon
P.
O.
Marseilles
Londe
Londe
Cap
Martin
Villa
Violette
Londe
Casino
Terrace—deserted
Casino
Sporting
Club
Judith
Brookes
Londe
Vingt-neuf
Londe
Londe
Brookes
Londe
Judith
Ceylon
England
Judith
Londe
Londe
Londe
Judith
T
Londe
God
Londe
I—for
Brookes
Londe
Mediterranean
Freesias
Londe
Londe
Please
Londe
Mr.
Brookes
Londe
Briefly
Londe
God
Londe
Londe
Londe
Londe
Judith
Judith
Judith
Come
Ceylon
Judith
Londe
Mr.
Brookes
Londe
Judith
Napoleon
Londe
Londe
Londe
Brookes
Brookes
Monsieur
Monsieur
Brookes
Casino
Sporting
Club
Judith
Londe
Judith
Londe
Sister
Judith
Londe
Judith
Remember
Londe
Judith
Nine
Hotel
Paris
Brookes
Brookes
Londe
Judith
Frenchman
Club
Brookes
Londe
Judith
Vicomte
Brookes
Judith
Vicomte
Club
Vicomte
Londe
May
Damn
Londe
Judith
Run
Vicomte
Ann
Daniel
Mr.
Rocke
Daniel
SUICIDE
AT
MONTE
CARLO
Mr.
Ernest
Brookes
Ceylon
Monte
Carlo
Monte
Carlo
Mr.
Mrs.
Broadbent
Hotel
Paris
Daniel
Daniel
Mr.
Mrs.
Broadbent
Mr.
Mrs.
Broadbent
Monte
Carlo
Daniel
A.B.C
Ann
Daniel
BORGIA
TOUCH
First
Hearst
International
Monthly
Dec
THE
Riviera
Hyhres
Monaco
Cap
Martin
Judith
Neapolitan
Hurry
Joseph
Londe
Judith
Judith
Joseph
Am
Judith
Mrs.
Broadbent
Vicomte
Monte
Carlo
Joseph
Poiret
Joseph
London
Monte
Carlo
Worton
Worton
January
England
Ca
Joseph
Joseph
Joseph
Mediterranean
Joseph
Joseph
Nice
Armand
Vicomte
Londe
Ann
Monte
Carlo
Salon
Prive
Sporting
Club
Commission
Monte
Carlo
Mademoiselle
Commission
Sir
Francis
Worton
Home
Branch
English
Secret
Service
Scotland
Yard
Mr.
Daniel
Rocke
Sir
Francis
Tatler
Mr.
Mrs.
Broadbent
Principality
Ann
Broadbent
Mr.
Mrs.
Broadbent
Mademoiselle
Ann
Mrs.
Broadbent
Rome
Ann
Mademoiselle
James
Broadbent
Mademoiselle
Ann
London
Daniel
Somersetshire
Sir
Francis
Ireland
Scotland
Yard
Cafi
Paris
Thais
Dubonnet
Londe
Homburg
French
Ann
Londe
Monsieur
Professeur
Trenchard
Paris
Docteur
Coppet
Miss
Ann
Lancaster
Londe
Ann
Dubonnet
Mr.
Broadbent
Docteur
Coppet
Professeur
Trenchard
Paris
Ann
Londe
Ann
Miss
Lancaster
Ann
Londe
Londe
Monsieur
Professeur
Monsieur
Docteur
Vicomte
Mademoiselle
Vicomte
May
St.
James
Londe
France
Villa
Daniel
Vicomte
Vicomte
Frenchman
Daniel
Vicomte
Mademoiselle
Lancaster
Vicomte
Villa
Violette
Mr.
Mrs
Ann
Madame
Broadbent
Ann
Ann
Monsieur
Broadbent
Monte
Carlo
Ann
Vicomte
Ann
Professeur
Paris
Londe
Ann
Vicomte
Judith
Ann
Ann
Londe
Professeur
Trenchard
Londe
Vicomte
Judith
Hke
Ann
Professeur
Vicomte
Londe
Vicomte
Professeur
Londe
Professeur
Borgias
Professeur
Farewell
Professeur
Vicomte
Mon
Dieu
Ann
Le
Madame
Messieurs
DEAD
MAN
TALE
Illustration
First
Hearst
International
Monthly
Jan
AN
Algeciras
Joseph
Am
Joseph
Judith
Dredley
Shoreborough
Lancet
Salisbury
Plain
Worton
Judith
Lie
Come
Joseph
Be
Joseph
Spain
Mediterranean
Colonel
Sir
Francis
Worton
K.C.B.
D.S.O.
Mario
London
Daniel
Rocke
Ann
Sir
Francis
Ann
England
Gibraltar
Governor
Algeciras
Ann
Foremost
Captain
Milton
Chief
Constable
Shoreborough
Sir
Francis
Daniel
Ann
God
Milton
Monte
Carlo
Ann
Ann
Must
Milton
Ann
Europe
Sir
Francis
Daniel
Ann
Miss
Lancaster
Joseph
Londe
Worton
Daniel
Gibraltar
Friday
P.
O.
Tilbury
Have
Sir
Francis
Governor
Ann
Algeciras
Sir
Francis
Ann
Moorish
Ann
Guard
Nicholas
Sir
Francis
Sir
Francis
Tariffa
Behind
Daniel
Londe
Gib.
Ann
Portugal
Sir
Francis
Monte
Carlo
Jew
Lisbon
Has
Daniel
Sir
Francis
Sir
Francis
Halfway
Sir
Francis
Ann
Daniel
Londe—
Sir
Francis
Ann
Sir
Francis
Worton
Judith
Sir
Francis
Sir
Francis
Joseph
Worton
Below
Foremost
Jose
Buried
Pedro
Moor
Pedro—yours
Pedro
Pedro
Seqor
Spare
Marguerita
Jose
Jose
Londe
Daniel
Sir
Francis
Londe
Daniel
Worton
Pedro
Ann
Daniel
Worton
Londe
Ann
Daniel
Daniel
Ann
Ann
INCIDENT
AT
YESTERDAY
THE
BRITISH
MEDICAL
SOCIETY
Medical
Society
Chairman
Lord
Randall
Isolation
Insanity
Sir
Joseph
Londe
Bart.
Algeciras
Ann
Londe
Judith
Londe
